year,county,total_incidents
2014,Roscommon,3020.0
2014,Sligo,3238.0
2014,Tipperary,5214.0
2014,Waterford,5961.0
2014,Westmeath,4160.0
2014,Wexford,5219.0
2014,Wicklow,6649.0
2015,Cavan,4416.0
2015,Clare,3947.0
2015,Cork,19099.0
2015,Donegal,4683.0
2015,Dublin,7657.0
2015,Galway,8527.0
2015,Kerry,5384.0
2015,Kildare,7323.0
2015,Kilkenny,5623.0
2015,Laois,6357.0
2015,Limerick,12088.0
2015,Louth,6588.0
2015,Mayo,3271.0
2015,Meath,5441.0
2015,Roscommon,2954.0
2015,Sligo,3125.0
2015,Tipperary,5096.0
2015,Waterford,6043.0
2015,Westmeath,3884.0
2015,Wexford,5596.0
2015,Wicklow,6139.0
2016,Cavan,4385.0
2016,Clare,3660.0
2016,Cork,17111.0
2016,Donegal,4496.0
2016,Dublin,7553.0
2016,Galway,7559.0
2016,Kerry,4435.0
2016,Kildare,6572.0
2016,Kilkenny,5184.0
2016,Laois,5582.0
2016,Limerick,9651.0
2016,Louth,5624.0
2016,Mayo,2983.0
2016,Meath,4677.0
2016,Roscommon,2659.0
2016,Sligo,2760.0
2016,Tipperary,4658.0
2016,Waterford,5199.0
2016,Westmeath,4080.0
2016,Wexford,4701.0
2016,Wicklow,5222.0
2017,Cavan,4925.0
2017,Clare,3447.0
2017,Cork,18153.0
2017,Donegal,4522.0
2017,Dublin,8598.0
2017,Galway,8378.0
2017,Kerry,5047.0
2017,Kildare,7744.0
2017,Kilkenny,5349.0
2017,Laois,6175.0
2017,Limerick,10294.0
2017,Louth,6076.0
2017,Mayo,2948.0
2017,Meath,5704.0
2017,Roscommon,2886.0
2017,Sligo,3023.0
2017,Tipperary,5082.0
2017,Waterford,5552.0
2017,Westmeath,4429.0
2017,Wexford,4747.0
2017,Wicklow,5449.0
2018,Cavan,5218.0
2018,Clare,3533.0
2018,Cork,19040.0
2018,Donegal,4399.0
2018,Dublin,9187.0
2018,Galway,7567.0
2018,Kerry,5205.0
2018,Kildare,7333.0
2018,Kilkenny,5183.0
2018,Laois,6133.0
2018,Limerick,10623.0
2018,Louth,6468.0
2018,Mayo,3061.0
2018,Meath,5486.0
2018,Roscommon,2864.0
2018,Sligo,3025.0
2018,Tipperary,5337.0
2018,Waterford,5710.0
2018,Westmeath,4266.0
2018,Wexford,4603.0
2018,Wicklow,4966.0
2019,Cavan,5377.0
2019,Clare,3336.0
2019,Cork,19075.0
2019,Donegal,5213.0
2019,Dublin,10432.0
2019,Galway,7972.0
2019,Kerry,5506.0
2019,Kildare,7909.0
2019,Kilkenny,5025.0
2019,Laois,6324.0
2019,Limerick,9853.0
2019,Louth,6796.0
2019,Mayo,2868.0
2019,Meath,5744.0
2019,Roscommon,3286.0
2019,Sligo,3217.0
2019,Tipperary,5043.0
2019,Waterford,5832.0
2019,Westmeath,4777.0
2019,Wexford,4379.0
2019,Wicklow,5672.0
2020,Cavan,4359.0
2020,Clare,2930.0
2020,Cork,16490.0
2020,Donegal,4132.0
2020,Dublin,5281.0
2020,Galway,7002.0
2020,Kerry,4195.0
2020,Kildare,5970.0
2020,Kilkenny,4231.0
2020,Laois,4993.0
2020,Limerick,9133.0
2020,Louth,6193.0
2020,Mayo,2479.0
2020,Meath,5263.0
2020,Roscommon,2639.0
2020,Sligo,2726.0
2020,Tipperary,4648.0
2020,Waterford,5062.0
2020,Westmeath,2986.0
2020,Wexford,3862.0
2020,Wicklow,4505.0
2021,Cavan,4542.0
2021,Clare,2932.0
2021,Cork,17063.0
2021,Donegal,4312.0
2021,Dublin,6079.0
2021,Galway,7517.0
2021,Kerry,4343.0
2021,Kildare,6760.0
2021,Kilkenny,4169.0
2021,Laois,4963.0
2021,Limerick,9761.0
2021,Louth,6073.0
2021,Mayo,2890.0
2021,Meath,4942.0
2021,Roscommon,2784.0
2021,Sligo,2658.0
2021,Tipperary,4888.0
2021,Waterford,5533.0
2021,Westmeath,3225.0
2021,Wexford,4292.0
2021,Wicklow,4256.0
2022,Cavan,4790.0
2022,Clare,2993.0
2022,Cork,19707.0
2022,Donegal,4595.0
2022,Dublin,8877.0
2022,Galway,8082.0
2022,Kerry,5095.0
2022,Kildare,8094.0
2022,Kilkenny,4509.0
2022,Laois,6175.0
2022,Limerick,9802.0
2022,Louth,6272.0
2022,Mayo,2850.0
2022,Meath,5337.0
2022,Roscommon,2791.0
2022,Sligo,2836.0
2022,Tipperary,5165.0
2022,Waterford,6285.0
2022,Westmeath,4035.0
2022,Wexford,4782.0
2022,Wicklow,4075.0
2023,Cavan,4250.0
2023,Clare,3239.0
2023,Cork,18186.0
2023,Donegal,4506.0
2023,Dublin,9967.0
2023,Galway,8144.0
2023,Kerry,4865.0
2023,Kildare,7956.0
2023,Kilkenny,4453.0
2023,Laois,5655.0
2023,Limerick,9953.0
2023,Louth,6154.0
2023,Mayo,2616.0
2023,Meath,5679.0
2023,Roscommon,2871.0
2023,Sligo,2664.0
2023,Tipperary,5340.0
2023,Waterford,6134.0
2023,Westmeath,4287.0
2023,Wexford,4689.0
2023,Wicklow,3969.0
2024,Cavan,4014.0
2024,Clare,2963.0
2024,Cork,18284.0
2024,Donegal,4479.0
2024,Dublin,9965.0
2024,Galway,7620.0
2024,Kerry,4891.0
2024,Kildare,8243.0
2024,Kilkenny,4377.0
2024,Laois,5673.0
2024,Limerick,9881.0
2024,Louth,6801.0
2024,Mayo,2419.0
2024,Meath,5393.0
2024,Roscommon,2761.0
2024,Sligo,2808.0
2024,Tipperary,5229.0
2024,Waterford,5801.0
2024,Westmeath,4099.0
2024,Wexford,5139.0
2024,Wicklow,4357.0
