year,county,total_incidents,avg_monthly_rent
2014,Sligo,3238.0,624.094
2014,Tipperary,5214.0,541.0933333333334
2014,Waterford,5961.0,557.6921052631578
2014,Westmeath,4160.0,523.6528571428572
2014,Wexford,5219.0,572.6177777777779
2014,Wicklow,6649.0,896.3318181818181
2015,Cavan,4416.0,468.27666666666664
2015,Clare,3947.0,555.7366666666667
2015,Cork,19099.0,768.1926829268293
2015,Donegal,4683.0,443.7033333333333
2015,Dublin,7657.0,1303.7042592592593
2015,Galway,8527.0,773.0122222222221
2015,Kerry,5384.0,551.64125
2015,Kildare,7323.0,894.016875
2015,Kilkenny,5623.0,674.1357142857142
2015,Laois,6357.0,562.982
2015,Limerick,12088.0,661.5084615384616
2015,Louth,6588.0,690.6324999999999
2015,Mayo,3271.0,505.52000000000004
2015,Meath,5441.0,840.49125
2015,Roscommon,2954.0,466.5485714285714
2015,Sligo,3125.0,936.028
2015,Tipperary,5096.0,550.8466666666667
2015,Waterford,6043.0,583.0626315789474
2015,Westmeath,3884.0,584.0557142857143
2015,Wexford,5596.0,579.2022222222222
2015,Wicklow,6139.0,970.1472727272728
2016,Cavan,4385.0,514.0799999999999
2016,Clare,3660.0,598.25
2016,Cork,17111.0,843.2284999999999
2016,Donegal,4496.0,464.0533333333334
2016,Dublin,7553.0,1406.171717791411
2016,Galway,7559.0,836.7174074074073
2016,Kerry,4435.0,578.30875
2016,Kildare,6572.0,973.900625
2016,Kilkenny,5184.0,731.4571428571428
2016,Laois,5582.0,629.83
2016,Limerick,9651.0,725.03
2016,Louth,5624.0,757.5
2016,Mayo,2983.0,518.2963636363637
2016,Meath,4677.0,938.725
2016,Roscommon,2659.0,481.1228571428572
2016,Sligo,2760.0,678.667
2016,Tipperary,4658.0,570.9533333333334
2016,Waterford,5199.0,623.577
2016,Westmeath,4080.0,619.6314285714286
2016,Wexford,4701.0,610.8144444444445
2016,Wicklow,5222.0,1053.1972727272728
2017,Cavan,4925.0,558.8888888888889
2017,Clare,3447.0,650.65
2017,Cork,18153.0,916.7656097560975
2017,Donegal,4522.0,497.5544444444444
2017,Dublin,8598.0,1517.318282208589
2017,Galway,8378.0,907.1762962962964
2017,Kerry,5047.0,623.4875
2017,Kildare,7744.0,1061.441875
2017,Kilkenny,5349.0,774.7171428571429
2017,Laois,6175.0,694.1600000000001
2017,Limerick,10294.0,806.7061538461538
2017,Louth,6076.0,857.2675
2017,Mayo,2948.0,546.4818181818182
2017,Meath,5704.0,1048.665
2017,Roscommon,2886.0,530.9871428571429
2017,Sligo,3023.0,691.8155555555555
2017,Tipperary,5082.0,606.5258333333333
2017,Waterford,5552.0,681.48
2017,Westmeath,4429.0,679.3342857142858
2017,Wexford,4747.0,664.8222222222222
2017,Wicklow,5449.0,1133.4972727272727
2018,Cavan,5218.0,587.4733333333334
2018,Clare,3533.0,693.4871428571429
2018,Cork,19040.0,987.8948780487806
2018,Donegal,4399.0,524.0244444444445
2018,Dublin,9187.0,1639.3372839506173
2018,Galway,7567.0,1002.2677777777777
2018,Kerry,5205.0,672.27125
2018,Kildare,7333.0,1127.2675
2018,Kilkenny,5183.0,850.5428571428572
2018,Laois,6133.0,754.492
2018,Limerick,10623.0,889.7941666666667
2018,Louth,6468.0,953.6925
2018,Mayo,3061.0,576.9072727272728
2018,Meath,5486.0,1139.46125
2018,Roscommon,2864.0,585.11
2018,Sligo,3025.0,711.895
2018,Tipperary,5337.0,642.11
