year,county,avg_monthly_rent
2015,Kerry,551.64125
2015,Kildare,894.016875
2015,Kilkenny,674.1357142857142
2015,Laois,562.982
2015,Leitrim,439.52
2015,Limerick,661.5084615384616
2015,Longford,427.59400000000005
2015,Louth,690.6324999999999
2015,Mayo,505.52000000000004
2015,Meath,840.49125
2015,Monaghan,498.40599999999995
2015,Offaly,560.5533333333333
2015,Roscommon,466.5485714285714
2015,Sligo,936.028
2015,Tipperary,550.8466666666667
2015,Waterford,583.0626315789474
2015,Westmeath,584.0557142857143
2015,Wexford,579.2022222222222
2015,Wicklow,970.1472727272728
2016,Carlow,652.815
2016,Cavan,514.0799999999999
2016,Clare,598.25
2016,Cork,843.2284999999999
2016,Donegal,464.0533333333334
2016,Dublin,1406.171717791411
2016,Galway,836.7174074074073
2016,Kerry,578.30875
2016,Kildare,973.900625
2016,Kilkenny,731.4571428571428
2016,Laois,629.83
2016,Leitrim,455.91333333333336
2016,Limerick,725.03
2016,Longford,464.9440000000001
2016,Louth,757.5
2016,Mayo,518.2963636363637
2016,Meath,938.725
2016,Monaghan,527.706
2016,Offaly,583.7783333333333
2016,Roscommon,481.1228571428572
2016,Sligo,678.667
2016,Tipperary,570.9533333333334
2016,Waterford,623.577
2016,Westmeath,619.6314285714286
2016,Wexford,610.8144444444445
2016,Wicklow,1053.1972727272728
2017,Carlow,705.2325
2017,Cavan,558.8888888888889
2017,Clare,650.65
2017,Cork,916.7656097560975
2017,Donegal,497.5544444444444
2017,Dublin,1517.318282208589
2017,Galway,907.1762962962964
2017,Kerry,623.4875
2017,Kildare,1061.441875
2017,Kilkenny,774.7171428571429
2017,Laois,694.1600000000001
2017,Leitrim,477.37999999999994
2017,Limerick,806.7061538461538
2017,Longford,520.906
2017,Louth,857.2675
2017,Mayo,546.4818181818182
2017,Meath,1048.665
2017,Monaghan,575.146
2017,Offaly,620.2033333333333
2017,Roscommon,530.9871428571429
2017,Sligo,691.8155555555555
2017,Tipperary,606.5258333333333
2017,Waterford,681.48
2017,Westmeath,679.3342857142858
2017,Wexford,664.8222222222222
2017,Wicklow,1133.4972727272727
2018,Carlow,781.2775
2018,Cavan,587.4733333333334
2018,Clare,693.4871428571429
2018,Cork,987.8948780487806
2018,Donegal,524.0244444444445
2018,Dublin,1639.3372839506173
2018,Galway,1002.2677777777777
2018,Kerry,672.27125
2018,Kildare,1127.2675
2018,Kilkenny,850.5428571428572
2018,Laois,754.492
2018,Leitrim,519.41
2018,Limerick,889.7941666666667
2018,Longford,576.0600000000001
2018,Louth,953.6925
2018,Mayo,576.9072727272728
2018,Meath,1139.46125
2018,Monaghan,625.522
2018,Offaly,663.8866666666667
2018,Roscommon,585.11
2018,Sligo,711.895
2018,Tipperary,642.11
2018,Waterford,758.9536842105264
2018,Westmeath,744.6257142857143
2018,Wexford,720.3355555555556
2018,Wicklow,1212.1527272727274
2019,Carlow,841.0550000000001
2019,Cavan,629.5688888888889
2019,Clare,734.4457142857143
2019,Cork,1030.9653658536586
2019,Donegal,543.36
2019,Dublin,1732.742075471698
2019,Galway,1051.3703846153846
2019,Kerry,709.895
2019,Kildare,1179.11125
2019,Kilkenny,880.6883333333334
2019,Laois,817.674
2019,Leitrim,552.03
2019,Limerick,952.6541666666667
2019,Longford,619.946
2019,Louth,1020.7850000000001
2019,Mayo,613.6745454545454
2019,Meath,1190.25875
2019,Monaghan,653.116
2019,Offaly,718.7483333333333
2019,Roscommon,625.5
2019,Sligo,829.915
2019,Tipperary,683.5491666666667
2019,Waterford,823.5200000000001
2019,Westmeath,790.2157142857143
2019,Wexford,758.0633333333333
2019,Wicklow,1265.851818181818
2020,Carlow,880.7425000000001
2020,Cavan,660.3622222222223
2020,Clare,773.51
2020,Cork,1037.948918918919
2020,Donegal,559.0688888888889
2020,Dublin,1780.5284076433122
2020,Galway,1084.0092307692307
2020,Kerry,749.2674999999999
2020,Kildare,1226.09125
2020,Kilkenny,880.4316666666667
2020,Laois,849.336
2020,Leitrim,573.74
2020,Limerick,998.4966666666666
2020,Longford,657.9780000000001
2020,Louth,1059.35
2020,Mayo,646.7236363636364
2020,Meath,1233.625625
2020,Monaghan,670.086
2020,Offaly,763.59
2020,Roscommon,656.4342857142857
2020,Sligo,773.08
2020,Tipperary,710.665
2020,Waterford,837.915
2020,Westmeath,833.8771428571429
2020,Wexford,783.6488888888889
2020,Wicklow,1307.5872727272726
2021,Carlow,924.13
2021,Cavan,688.531111111111
2021,Clare,817.4
2021,Cork,1071.7920000000001
2021,Donegal,585.9877777777779
2021,Dublin,1790.1227152317879
2021,Galway,1114.892
2021,Kerry,788.2262499999999
2021,Kildare,1265.915
2021,Kilkenny,882.4250000000001
2021,Laois,877.4639999999999
2021,Leitrim,609.25
2021,Limerick,1044.5849999999998
2021,Longford,695.75
2021,Louth,1100.2975000000001
2021,Mayo,680.1745454545454
2021,Meath,1270.98875
2021,Monaghan,696.392
2021,Offaly,804.6933333333333
2021,Roscommon,699.4242857142857
2021,Sligo,810.155
2021,Tipperary,739.64
2021,Waterford,910.3344444444444
2021,Westmeath,873.0942857142857
2021,Wexford,822.7066666666666
2021,Wicklow,1355.5936363636365
2022,Carlow,1030.9666666666667
2022,Cavan,784.3222222222222
2022,Clare,895.5071428571429
2022,Cork,1125.1035294117646
2022,Donegal,661.5711111111111
2022,Dublin,1868.5346721311475
2022,Galway,1187.3104347826086
2022,Kerry,866.06375
2022,Kildare,1322.88125
2022,Kilkenny,929.1216666666666
2022,Laois,934.24
2022,Leitrim,691.66
2022,Limerick,1143.5991666666666
2022,Longford,778.7059999999999
2022,Louth,1151.755
2022,Mayo,758.3290909090908
2022,Meath,1315.11125
2022,Monaghan,775.066
2022,Offaly,878.7183333333332
2022,Roscommon,777.5157142857144
2022,Sligo,902.855
2022,Tipperary,810.2466666666666
2022,Waterford,1030.54125
2022,Westmeath,942.2014285714286
2022,Wexford,902.3188888888889
2022,Wicklow,1398.1399999999999
2023,Carlow,1120.6766666666667
2023,Cavan,858.5022222222223
2023,Clare,990.6928571428572
